dim1,dim2,dim3
10.557,11.969,-5.8338
-9.4681,4.5754,-0.57847
-0.21775,10.019,7.8786
3.9691,5.3414,6.0994
6.0107,20.911,3.0887
2.4737,14.569,13.738
-8.5193,7.8313,3.1224
-1.67,18.232,-10.712
11.518,1.1438,-4.0964
10.116,11.48,8.5886
-4.7506,17.563,6.9893
11.99,13.142,-2.8797
-0.93794,1.7284,-10.869
7.3023,10.858,11.436
-4.7114,1.2961,7.0095
3.2537,2.8791,-4.2647
5.7365,0.45332,3.7705
12.558,17.117,2.0945
12.391,3.248,-1.314
4.4403,6.656,5.6527
-9.4619,20.497,-0.45495
11.128,18.774,6.9604
5.6647,19.892,-1.8677
3.468,16.761,6.4958
2.5898,14.397,-4.5442
1.3654,17.679,-4.7991
3.8296,19.617,-10.674
-3.9338,18.587,7.3595
-7.1269,11.391,5.159
12.605,16.248,0.81891
6.3035,3.7111,1.8446
12.151,5.5484,-2.3475
0.9257,19.7,-4.8142
9.012,0.54622,9.9161
11.888,2.0027,-3.1762
5.1624,2.5251,12.747
5.7065,10.479,3.8339
-8.7382,3.6601,2.6479
-9.4725,8.339,-1.2975
-3.9022,13.877,7.3717
5.3926,3.8901,-2.3316
-6.4001,6.3373,-8.1049
6.1323,6.6051,-0.69062
11.809,16.596,5.4287
0.56666,9.0815,-4.7966
-5.0033,3.4336,6.8525
12.474,13.133,2.8192
1.924,10.092,-4.7224
-7.3633,8.7588,4.8891
11.313,6.3075,-4.5289
6.1374,20.744,2.672
-9.3825,2.3289,0.33921
6.1321,15.795,2.6915
-9.2722,15.814,-2.9628
7.5014,2.9452,-8.9686
-0.039344,15.522,7.8589
-9.025,5.5075,1.8822
-8.6738,12.455,2.795
-5.1255,18.204,-9.1466
4.7224,7.8195,-3.1762
11.33,0.30949,-4.4941
0.28508,8.4886,7.8123
-2.884,2.013,7.6898
0.96588,8.8153,14.035
6.0611,16.954,-9.8297
8.5059,0.50558,10.422
5.1733,0.256,-2.6455
12.099,4.185,-2.5284
0.40013,9.7875,-4.7792
8.5305,4.8561,-8.1577
5.9192,6.0394,-1.3178
12.302,0.89237,-1.7461
6.2933,2.525,1.9175
-6.0567,7.6689,-8.4199
12.442,20.753,3.0294
-0.71689,17.316,7.9119
8.7871,19.774,10.148
-8.4518,9.8744,-5.3195
0.69871,19.05,-11.037
-9.2115,16.872,-3.2326
2.2159,15.626,7.2242
0.79951,5.7576,-4.8111
-1.2059,10.583,-10.818
2.7841,6.2244,-4.4735
9.1199,12.163,-7.6002
5.1683,12.508,-2.6521
11.764,3.862,5.5487
3.632,2.2598,6.3739
5.7192,16.789,-9.9947
3.6812,6.0431,13.371
5.7158,20.384,12.458
-5.1468,6.4501,6.7697
-6.5557,9.7331,-7.9523
0.7182,0.63532,7.728
-7.7476,10.93,4.3974
7.8844,8.6237,10.976
6.3558,9.454,1.2455
3.1917,1.1705,-4.2955
3.0736,8.41,6.7615
-9.2109,8.7117,1.2271
8.1958,10.083,-8.4422
8.6806,0.77948,10.254
12.328,1.2762,-1.6268
8.0269,7.9917,-8.5779
-2.2942,10.198,7.8097
10.471,19.162,8.0759
12.606,13.847,0.96348
1.0601,15.087,-11.041
2.3287,10.023,-4.6257
-5.3926,19.885,-8.9552
-7.0049,16.959,5.29
6.3352,0.82771,0.41732
-3.9859,8.0501,-9.8333
-2.9154,9.3509,7.6821
4.7334,8.6379,-3.1646
9.3746,8.9895,9.5178
-7.3664,8.5453,4.8855
-8.1008,12.997,3.8725
-8.9147,3.9097,2.2021
6.7389,1.2052,11.836
2.3018,17.416,-10.963
-9.101,8.0443,-3.6518
4.9364,7.4445,-2.9406
-9.1241,8.6245,1.5563
7.1097,4.1869,-9.2314
3.0922,19.344,-4.3427
-5.4631,16.717,6.5736
-4.1957,1.0627,-9.7214
0.29065,13.006,-4.7645
-4.4432,4.2073,-9.5812
-5.1699,2.42,6.756
0.6644,1.4728,14.074
2.115,17.699,13.824
11.689,8.7842,-3.6972
11.079,13.312,-4.9738
4.7418,13.292,5.3191
5.8866,16.612,12.363
-8.188,9.4794,-5.8141
12.133,14.611,-2.4092
-7.2194,15.601,-7.22
-5.4576,3.6019,-8.9067
4.4555,9.3819,13.07
11.556,3.6937,6.0615
3.6822,4.2932,-4.0229
10.979,7.826,7.2355
12.335,15.497,3.6057
-8.7122,8.8401,-4.7524
12.407,13.455,-1.2281
11.376,10.636,-4.3991
-6.2423,3.2791,-8.2532
4.9191,11.191,-2.9607
5.8805,18.891,-1.4117
-3.9774,6.0531,-9.8378
11.488,9.1039,-4.1633
12.246,4.3519,3.9988
11.576,6.0657,6.0152
5.099,11.015,12.778
-0.57232,9.7462,-10.928
-0.49967,18.466,7.9014
4.68,1.4938,-3.2197
-7.1364,4.7021,-7.3198
-3.8944,9.8496,7.3747
5.1152,12.658,-2.7217
5.6951,5.912,3.8575
-8.5284,13.106,3.104
6.1549,5.1031,-9.7819
-2.6538,13.231,-10.413
-8.6027,3.6233,-5.0026
-4.8683,6.8318,6.9269
12.333,11.44,3.611
-8.3791,2.6958,3.393
1.0947,2.6136,-4.8131
-9.1567,8.4543,1.4384
7.3829,20.145,-9.0505
7.7024,3.8638,-8.8245
6.1017,12.256,2.7999
-3.7307,13.647,-9.9616
-5.8851,3.9049,6.2804
3.9533,1.5987,13.271
-3.0769,2.459,-10.252
-8.9128,13.184,-4.2366
5.0866,8.7662,4.8781
-8.2545,0.61028,3.6162
-2.0561,16.228,7.8453
-3.8615,19.556,7.3873
-2.2329,6.5599,7.8196
-4.0933,10.481,7.2954
6.2954,10.637,1.9032
0.20873,10.91,7.8245
5.6123,3.9502,-1.965
4.9518,3.6532,5.0593
3.1574,2.9702,-4.3121
-6.7882,4.5826,5.51
0.92667,16.254,-4.8142
-2.8414,10.574,7.7
-9.4551,3.7774,-1.644
-0.77009,0.27331,7.9136
4.3667,8.738,-3.5148
6.3036,0.38344,1.8437
6.3467,15.53,1.415
-2.0904,19.471,-10.597
0.00987,4.5171,14.136
4.8081,2.8879,-3.085
-8.0105,14.281,4.0146
-8.2858,11.076,-5.6385
-3.443,15.366,7.5331
-9.4515,7.67,-0.2962
-9.3635,17.885,-2.4627
-3.7954,19.143,-9.9298
-9.3341,8.5701,-2.6407
5.4487,12.91,-2.2437
6.2404,5.9934,-0.23874
3.4121,18.812,6.5357
7.0995,6.7262,11.585
10.209,16.327,-6.3283
5.5093,14.596,-10.089
4.1524,10.111,13.194
5.0165,11.231,4.9739
6.1368,12.646,2.6741
0.47213,19.651,7.7791
0.0064796,2.4652,-10.996
-8.8521,17.691,-4.4021
-9.4684,7.0924,-1.4056
3.7658,18.027,6.2689
8.957,13.102,9.9739
4.5191,15.139,5.5696
-0.53971,4.1936,-10.933
-8.4484,3.3386,-5.3264
9.6013,16.219,9.2514
3.3914,12.906,6.5504
3.4839,1.7832,6.4843
5.8439,19.696,-1.4966
12.347,0.59454,3.5453
12.516,17.898,2.5047
1.3596,14.311,-4.7996
2.152,3.0439,-4.6722
5.4617,0.89494,4.2978
9.7022,4.8575,-6.9656
6.0042,10.755,-1.0938
5.2584,0.3972,-2.529
7.7667,1.6309,11.073
-3.027,2.3495,7.6538
-6.5748,6.263,-7.9332
6.1297,17.07,-0.69966
-1.3652,2.7115,7.908
3.2088,20.243,-10.818
-7.7059,10.075,4.4543
-6.4269,8.5493,-8.0791
5.7749,7.1451,3.6867
-7.6554,8.6503,-6.6494
-5.0416,8.9183,-9.2041
12.285,10.232,-1.821
-4.1133,0.23475,7.2871
12.329,7.4583,3.6298
5.4324,8.2831,4.348
2.054,18.335,7.2959
7.5303,8.0122,-8.9482
6.9824,8.7071,11.668
1.5911,0.50166,-4.7759
1.7137,19.766,13.909
4.3294,5.5461,5.7653
6.1289,8.551,2.7033
6.3122,3.3433,1.7771
8.1993,7.4941,-8.4394
7.9292,10.959,10.938
6.0353,6.8543,3.0151
2.0571,10.031,-10.99
6.0748,19.025,2.8902
12.604,9.9147,0.78306
5.8452,12.417,-1.4937
6.303,9.924,0.13382
0.5749,0.71929,7.7587
9.283,18.605,-7.4316
-9.1157,17.978,-3.6003
-9.3496,20.929,-2.5497
5.17,16.283,-2.6499
-4.0889,19.755,7.2972
2.0567,6.1213,-4.6945
0.9448,18.322,-11.041
-7.2493,2.7466,-7.1835
1.7436,13.671,-11.015
6.1873,18.351,2.4737
12.597,4.7916,0.52079
-6.7899,20.402,-7.7099
6.3148,16.592,0.22473
5.6757,4.0965,3.8973
5.2542,5.3379,4.6344
-6.4952,11.23,5.784
-4.4984,17.164,7.115
1.9353,4.7037,-11.001
8.4468,9.0559,10.478
6.9883,10.548,11.664
4.4281,9.9383,-3.4604
6.318,8.0872,1.7293
-8.8893,13.521,-4.3018
5.687,10.698,3.8741
3.6713,8.1291,-10.714
2.3322,16.601,7.1697
10.878,16.365,-5.3239
11.454,0.78735,6.2931
-5.3718,11.783,-8.9706
-1.3546,20.15,7.9084
12.54,11.596,2.2884
5.7184,7.9179,-1.7632
7.7856,17.205,-8.7629
12.272,16.591,3.8899
-8.6172,16.465,2.919
-7.0114,19.14,-7.4652
-8.7341,19.898,2.6575
1.4496,13.82,7.5253
6.3597,0.36336,0.86039
6.0251,6.4955,-1.0343
-6.2414,13.813,-8.254
-9.1865,18.811,-3.3347
11.507,14.734,-4.1214
7.3008,13.264,-9.106
-7.4984,10.255,-6.8646
3.7008,13.252,-10.707
-3.0265,19.882,-10.273
0.65828,6.2406,-4.8037
0.65439,0.23731,-4.8034
9.0787,7.4659,9.8453
-6.4844,13.484,-8.023
-0.55784,0.80455,7.9048
3.4538,18.493,6.5061
2.1197,9.9893,7.2674
-4.6838,1.7884,-9.4363
-7.7096,5.5752,4.4493
3.9192,13.695,-10.65
-8.9159,10.772,-4.2279
5.0394,10.737,4.943
6.4174,20.189,-9.6425
5.978,9.2183,-1.1657
3.7843,1.3295,6.254
3.4505,15.653,-4.16
6.3577,11.75,0.78362
6.9771,20.337,11.672
0.19094,20.865,14.122
4.3687,3.2645,13.107
11.1,10.863,-4.9359
4.8306,9.0821,5.2124
6.3235,3.6224,1.6798
-9.4706,13.486,-0.63962
5.7486,2.8347,-1.7021
-2.2068,4.5524,7.8236
3.9919,11.578,6.0795
6.3005,2.7471,0.11602
10.319,5.7911,8.3022
6.207,13.681,2.3877
4.2864,20.762,5.8076
5.8175,10.21,-9.9486
1.7353,1.4239,7.4243
0.29976,10.183,-11.019
-7.542,15.133,4.6694
4.9905,12.279,5.0085
12.244,6.1673,4.0063
6.2884,18.399,0.033568
1.8558,10.803,-4.7352
-1.0374,7.6878,-10.851
3.3603,11.427,13.48
3.7346,4.8812,6.2939
9.1798,3.6836,-7.539
-5.1566,2.7991,-9.125
8.8009,10.826,10.134
-0.37607,19.661,7.8926
11.171,3.9091,-4.8044
3.3477,1.6097,-4.216
3.5529,11.95,-4.1013
12.597,6.4008,1.4599
6.2776,15.921,2.0192
5.0281,4.3038,-2.8312
-7.2879,17.691,4.9777
-4.0846,19.898,-9.7814
2.9362,0.36033,-4.4118
-6.7831,20.812,5.515
-7.1157,2.6876,5.1713
11.348,19.988,6.5204
-8.3792,12.232,-5.4626
2.9952,17.39,13.594
1.1067,17.647,-4.8128
-9.3237,17.892,0.69957
0.27142,18.342,-11.017
-1.675,19.674,-10.71
0.032804,8.4062,-4.7192
-8.08,11.1,3.9058
4.7319,15.377,12.949
12.444,0.37271,3.016
11.45,5.7003,6.3019
6.6783,2.7981,11.876
-7.5444,18.632,-6.8028
4.4229,19.972,5.6707
-8.2789,17.502,3.5737
2.5159,6.3055,-10.936
12.075,7.0856,4.6326
1.5458,0.40344,-4.7814
12.088,19.333,-2.5647
1.1922,0.9154,7.6056
8.3764,3.0459,10.543
6.359,14.758,-9.6743
9.9276,9.7705,-6.6932
5.1968,13.131,-2.6139
0.70094,6.286,-4.8064
11.821,20.455,5.3975
12.372,11.814,-1.4142
6.8424,15.764,11.765
-3.7058,12.299,7.4445
11.99,15.971,-2.8779
3.4363,0.74622,6.5186
12.441,5.932,3.0321
4.948,5.0856,-2.9272
1.6547,11.378,13.921
9.9779,7.0051,8.7752
3.9787,3.6311,-3.823
2.9934,10.671,-4.3872
-8.4784,0.74363,-5.2658
-9.476,6.0963,-1.1508
0.57019,6.2699,14.085
2.648,1.1604,-4.5239
5.0107,11.572,-2.8524
-9.1806,15.605,1.3477
-4.9344,0.5036,-9.2759
6.336,17.947,1.5531
3.5616,20.778,-4.0962
4.2295,3.3605,5.8626
11.404,4.1589,6.4021
2.872,18.103,6.8836
10.807,1.4287,7.5365
10.911,12.069,7.3573
-0.44204,19.836,7.8975
0.45828,5.069,-4.786
4.33,13.822,5.7647
3.2812,15.96,13.506
-9.4696,13.411,-0.61317
3.9438,14.139,6.1212
6.2415,18.812,2.2216
-8.0476,11.455,3.9569
-9.2293,13.194,-3.1572
4.7584,4.0435,-10.387
-9.4743,9.2881,-0.75459
-0.53035,9.3625,7.9032
10.083,2.8989,-6.4955
2.6232,9.266,7.0226
6.1192,4.2026,12.227
12.349,18.31,3.5371
10.508,11.704,8.0194
-8.1101,7.2252,3.8577
5.5524,20.797,-2.0713
-7.4242,10.808,-6.9623
-4.2893,19.069,-9.6694
3.0558,0.31879,6.7727
-9.4757,18.604,-1.1702
4.207,8.6882,13.173
6.3355,10.093,0.42056
8.8036,7.463,-7.9089
1.2225,7.4541,-4.8084
-2.2045,0.36371,7.824
6.1108,3.4916,2.768
1.8659,18.565,-4.7334
4.4153,8.4592,-3.4719
-8.3159,6.5518,3.5081
-9.4741,7.3332,-1.242
-9.0222,12.389,-3.9123
-2.4011,2.9419,-10.5
12.011,5.961,4.8395
0.28599,16.315,-4.7638
10.445,18.889,-5.9992
5.3455,9.2406,-2.4029
2.7253,18.139,-4.4958
-8.7214,1.2087,2.687
-6.7383,5.1275,5.5584
10.369,5.3191,-6.1069
5.0798,16.234,-10.267
-6.3194,20.544,-8.1815
5.0057,16.692,4.9883
6.3457,12.183,1.4301
5.2521,6.3442,-2.5378
1.7023,4.0445,7.4366
1.8526,13.021,-4.7358
-4.288,12.355,-9.6701
-0.35993,4.2806,-10.957
-9.355,18.899,0.51866
12.338,13.39,-1.5828
10.071,11.912,8.6505
-5.1211,7.3171,-9.1497
-4.0927,9.5728,7.2956
9.5005,11.292,-7.196
1.3401,11.731,7.5607
3.4034,9.1448,-4.1861
1.966,20.537,-10.998
3.7247,0.84205,6.3017
11.727,7.8341,5.6464
-2.6403,8.3051,7.7448
0.3509,18.844,-4.7729
0.024418,3.4014,-4.7175
6.3431,5.0051,0.51175
7.5188,10.777,-8.9563
12.568,14.057,1.9758
0.99982,20.829,-11.041
-4.4686,15.772,-9.5663
10.26,19.574,-6.2596
0.011298,14.632,-10.997
3.2169,11.978,-4.283
5.9748,14.047,-1.1744
5.759,12.228,-1.6807
5.3939,15.238,-2.3296
-9.2508,6.5325,-3.062
2.2983,2.1556,-4.6342
5.4866,14.908,4.2542
0.57465,13.642,-11.033
3.8796,2.9923,6.1756
0.93533,18.332,-4.8143
6.1366,13.423,2.6748
1.7113,2.9458,13.91
4.5708,2.2725,-3.3278
-7.1445,10.209,5.1397
-9.4109,13.715,0.12334
6.3326,7.7815,1.5903
2.7294,17.5,13.67
-9.0407,18.554,1.8334
5.797,4.3632,-1.6003
5.9185,19.662,-9.9002
-7.1918,19.646,5.0872
3.9943,12.12,-10.629
-4.023,17.713,7.3241
-1.3839,19.672,-10.779
5.9893,14.704,-1.1351
12.445,19.97,-1.0068
5.6454,7.1507,-1.9041
1.3782,13.921,-4.7981
11.45,20.34,-4.2434
4.8076,13.346,5.2405
-6.7067,12.312,-7.7978
3.2298,1.3656,-4.2767
-7.4795,6.3992,-6.8898
-4.9336,19.9,6.8913
6.1989,12.401,-0.43072
3.8705,12.873,-10.663
5.8941,11.913,-9.912
2.5514,7.1734,7.0604
-5.9895,7.8058,6.202
12.3,10.966,3.7637
0.30081,19.204,14.113
-7.2395,17.983,-7.1954
10.845,7.432,-5.3799
9.1525,17.739,-7.567
-9.4398,8.4681,-0.15379
4.3187,1.4606,5.7759
4.9699,10.383,-2.9013
3.1884,15.369,6.688
3.3245,16.453,6.5968
12.363,10.478,3.467
0.91757,19.665,-11.04
12.419,16.686,3.1627
-7.6008,0.18523,-6.7256
-9.2764,4.9301,0.93963
6.3554,15.524,1.2546
10.955,11.182,7.2794
4.3195,15.454,-10.533
1.8981,11.239,13.872
0.99362,11.91,-4.8145
-3.2003,17.342,-10.201
-0.64808,11.597,-10.917
7.9198,10.321,10.946
11.72,5.2333,-3.6205
-3.8519,15.815,-9.9017
-9.2232,11.902,1.1762
1.629,2.1163,7.4634
-9.3122,4.9014,0.76079
6.2982,18.492,0.099658
2.3519,14.422,7.1603
6.3604,16.699,1.0729
2.2552,16.612,-4.6459
-7.8854,5.3045,4.2021
1.9909,7.2338,-4.7088
12.385,2.5808,-1.3468
3.317,6.2632,13.494
0.82447,10.233,7.7034
-6.2803,13.606,5.9695
-2.4311,19.266,-10.49
6.1598,12.207,-0.58891
2.1274,14.186,7.264
6.3083,10.016,1.8079
11.284,11.804,6.6525
6.3503,11.902,0.61933
0.79063,13.899,-11.039
8.5825,14.26,-8.1116
8.1589,13.836,10.74
-2.1436,17.199,-10.581
-0.36829,19.878,7.892
11.933,7.2599,5.0797
0.17579,19.267,-4.7462
-6.2287,6.3411,6.0123
-3.3886,10.891,-10.12
1.8741,6.0067,7.3705
12.512,10.289,-0.53685
-3.5754,1.4074,7.4897
-3.846,15.957,-9.9047
3.9843,13.498,-3.8189
11.155,15.43,6.9091
-7.9023,2.746,-6.2846
12.603,8.5111,0.73058
5.1653,20.24,-2.6561
12.551,13.08,-0.18213
12.415,10.861,3.186
-6.6304,12.967,5.6607
6.3494,5.6586,0.6041
4.4966,17.194,-10.477
-9.4757,19.634,-1.1671
-9.2668,10.005,0.98427
-2.8943,12.302,7.6873
0.57214,9.0558,7.7593
6.4396,5.8768,-9.6303
3.3749,13.02,-4.2015
3.6245,20.795,-4.0585
12.315,15.972,-1.6873
12.599,1.3441,0.58653
-9.1321,4.3578,1.5276
6.1374,10.972,12.217
11.898,20.639,-3.1503
-9.2945,10.38,-2.8536
-0.17055,4.9299,7.8738
3.0289,13.097,6.7894
-6.3676,1.8456,5.8956
1.2591,10.257,-4.8064
1.5988,16.768,13.931
-5.8619,3.2377,6.2976
5.5087,16.408,-2.1456
5.503,11.636,-2.155
12.004,4.1674,4.8605
5.2986,2.9669,4.5659
6.1014,18.026,-0.79718
6.3387,7.0365,1.5216
12.523,1.2813,-0.44876
6.3186,12.986,1.7234
12.359,16.208,3.4869
-9.349,0.71449,0.55509
5.2697,9.5674,-2.5129
6.2492,13.669,2.1818
1.8579,17.256,-4.7349
0.56144,2.0529,14.086
10.873,13.644,-5.3323
-2.7681,6.337,7.717
-6.4808,4.064,-8.0266
2.1812,15.141,-4.665
-1.2958,7.8888,7.9109
2.5773,4.3963,-4.5485
-3.0913,18.114,7.6367
3.1482,20.426,-10.83
0.05441,12.955,-4.7236
6.1758,1.8376,-0.52642
3.1601,5.3398,-10.828
4.7756,17.519,-3.12
7.6755,9.4207,-8.8441
-7.526,0.68138,-6.8276
3.5106,12.546,6.4648
4.7507,9.1847,-3.1465
12.082,8.6384,-2.5861
-7.0918,17.361,-7.3723
-9.2047,12.895,1.2526
-9.4573,18.982,-0.38027
6.8081,6.6216,-9.4185
12.524,9.5365,2.435
10.727,3.464,-5.5703
-2.7299,13.838,-10.386
5.4168,3.8657,-2.2941
1.1559,10.492,-11.04
5.785,8.2663,3.6641
-8.9095,5.5414,-4.246
-8.6266,20.784,-4.9495
0.40931,9.8604,7.7907
-9.3358,18.914,-2.6314
0.39586,7.6344,-4.7787
-9.0295,10.271,-3.8891
-9.116,13.86,1.5847
-0.84365,17.478,7.9153
6.3531,4.4745,0.67156
-3.0334,18.309,7.6521
-0.41963,19.497,7.8959
3.341,6.6976,-10.79
-2.0915,19.484,7.8405
-0.386,4.0028,7.8934
3.8594,12.11,-3.9069
-4.1257,4.6019,-9.7594
-5.4429,16.466,-8.9178
-4.1466,0.76051,7.2732
5.7245,13.719,3.7959
4.0394,6.3798,-3.7785
6.8882,18.723,11.734
-8.3634,15.522,-5.4929
8.0731,4.6264,10.815
3.5744,15.46,-4.0886
1.5716,0.37784,7.4838
-8.7092,10.369,-4.7596
-7.9092,20.118,4.1672
1.2658,6.7855,7.5837
12.478,19.739,-0.78822
6.2645,16.189,-0.11108
1.6354,6.161,7.4611
12.033,18.716,4.7684
-3.3777,10.807,7.5537
2.8983,16.076,-4.4277
4.4818,1.2831,-3.4116
8.7536,8.6309,10.181
5.8402,6.9197,3.537
-8.8545,0.04606,2.3618
6.3061,7.945,1.8254
4.5771,14.383,5.5066
4.3058,11.646,-3.5669
-9.4395,1.5469,-1.8415
-8.3219,14.303,3.4973
-9.3427,12.226,0.59249
-4.0571,1.1497,-9.796
1.3586,19.056,-11.035
-2.623,8.6498,7.7485
12.489,13.955,2.7098
-9.1862,9.3279,1.3262
2.9442,17.043,-10.868
11.51,9.078,6.1684
1.5591,13.146,-4.7798
5.8436,15.989,12.387
11.788,10.953,-3.4478
11.965,8.063,4.983
-5.3252,15.756,6.6615
-4.9679,13.946,-9.2536
4.77,13.429,-10.383
-4.407,18.066,7.158
0.58228,14.64,7.7572
2.1512,12.815,-4.6724
-5.7984,7.6439,6.3438
0.86776,20.369,14.049
-5.9919,19.173,6.2001
9.3528,5.4669,9.5427
-9.429,11.77,-0.041102
5.2111,12.428,-2.5945
4.8522,18.867,-10.353
2.4705,6.2041,-4.5834
-6.2636,15.077,5.9835
10.893,18.806,-5.2998
3.2267,6.0523,-4.2782
-5.6491,7.4458,6.4491
-0.1972,6.6167,-10.976
3.6928,12.16,-10.709
2.8382,6.7047,6.9033
5.591,20.649,4.0635
2.0512,11.392,7.2971
5.7686,2.0899,-1.6606
5.8928,11.075,-1.3823
-1.9139,6.5376,7.8632
3.2774,5.8192,-4.2526
-0.14224,13.303,7.8708
4.9402,12.381,5.0743
10.003,2.6906,-6.5988
-0.83172,18.058,7.9151
9.4272,10.978,-7.2769
-6.5689,5.8989,-7.939
6.2597,18.399,-0.13748
6.0501,2.8528,-0.96017
-4.4467,19.625,-9.5792
1.7892,13.724,-4.7468
-8.6901,17.073,2.7585
-9.273,15.634,-2.959
12.139,11.522,4.4093
11.835,1.9939,-3.3241
-9.0383,0.54382,1.8409
12.107,20.538,4.523
5.7812,10.149,-1.6341
12.333,15.736,3.6128
-5.3545,12.878,-8.9834
-6.644,11.863,-7.8628
-6.2094,5.516,6.0281
-1.9387,0.56218,-10.64
2.6282,6.5891,-4.5309
3.1646,4.5034,-4.3086
-7.8539,2.017,4.2477
11.356,12.771,6.5034
12.435,19.416,3.073
3.0067,14.794,6.803
2.558,16.493,7.0569
6.1623,13.382,-0.57918
2.4175,19.6,-4.5997
3.1048,12.617,-10.839
-8.2423,11.114,3.6374
7.3282,18.85,11.417
12.179,0.77325,-2.2442
-9.248,20.956,1.0697
-2.5394,20.621,-10.453
12.345,18.863,-1.5501
-8.1562,12.67,3.7824
2.1661,18.538,-10.979
-0.61194,10.67,-10.922
8.0326,11.899,-8.5734
9.0572,7.0347,9.8683
-9.4643,9.665,-1.4911
10.101,19.245,8.61
-5.1075,3.9877,6.7927
-5.0857,4.8443,-9.174
-9.001,8.7336,-3.9782
0.16797,13.411,-4.7448
3.5952,5.9622,6.4019
5.9011,18.988,3.3877
0.0768,9.932,7.8438
-4.6158,8.9471,7.0578
4.616,12.64,-10.437
4.1808,12.553,13.183
3.7014,5.4966,6.3201
-1.2523,7.1681,7.9125
-9.1843,11.757,1.3336
-5.2509,20.039,-9.0584
-8.6097,11.108,2.9351
-0.22869,14.634,7.8797
-9.4696,9.5521,-1.3769
1.8941,8.0755,7.3624
3.35,8.8026,-10.789
4.3363,19.266,5.7584
0.05162,6.6629,-11
6.2017,2.6243,-0.41848
11.995,10.442,4.891
5.0599,18.424,4.915
12.276,17.463,3.8688
5.9115,16.518,3.3609
-8.093,0.97762,-5.977
0.054909,18.722,-4.7237
5.4662,17.523,-2.2155
-0.50172,1.2141,7.9015
-2.1647,7.9854,7.83
-3.1146,6.7215,-10.237
7.6856,19.427,-8.8368
12.031,4.1756,-2.7521
2.3505,1.8672,7.1609
6.7764,20.078,11.81
12.599,18.564,1.4205
-9.4021,19.535,0.19452
11.992,18.696,4.8995
